                   TOUGHREACT V4.13omp EOS 14

          ---- Modelling Progress and Iteration Messages ----

 Description of column-headers and variables:
   TIMESTEP = Total number of timesteps
   TIME     = Total simulation time (seconds and years)
   ITFLO    = Iterations to solve flow
   ITSQ     = Sequential transport-chemistry iterations
   MXITCH   = Maximum iterations to solve chemistry
   AVITCH   = Average iterations to solve chemistry
   Dt(s)    = Current time step (seconds)
   Dt-LIMIT = Criterion limiting timestep
   MXITCH-ID = Grid block: maximum chemical iterations

 TIMESTEP     TIME(s)       TIME(y)  ITFLO ITSQ MXITCH AVITCH    Dt(s)      Dt-LIMIT     MXITCH-ID
 ----------------------------------------------------------------------------------------------------
        0  0.000000E+00  0.000000E+00   0   0     5    5.000  0.00000E+00      ---           InWat
        1  1.000000E+00  3.168879E-08   3   1    11    6.018  1.00000E+00      ---           AH  1
        2  3.000000E+00  9.506637E-08   3   1    11    6.018  2.00000E+00  Chem_iter0_dtinc  AH  1
        3  7.000000E+00  2.218215E-07   3   1    10    6.015  4.00000E+00  Chem_iter0_dtinc  AH  1
        4  1.500000E+01  4.753319E-07   3   1    11    6.022  8.00000E+00  Chem_iter0_dtinc  AH  1
        5  3.100000E+01  9.823525E-07   6   1    11    6.024  1.60000E+01  Chem_iter0_dtinc  AH  1
        6  4.700000E+01  1.489373E-06   4   1    10    6.015  1.60000E+01  Flow_dtcut        AH  1
        7  7.900000E+01  2.503414E-06   5   1    11    6.036  3.20000E+01  Chem_iter0_dtinc  AH  2
        8  1.110000E+02  3.517456E-06   4   1    10    6.033  3.20000E+01  Flow_dtcut        AH  1
        9  1.750000E+02  5.545538E-06   6   1    11    6.045  6.40000E+01  Chem_iter0_dtinc  AG  1
       10  2.390000E+02  7.573621E-06   4   1    10    6.032  6.40000E+01  Flow_dtcut        AH  1
       11  3.670000E+02  1.162979E-05   6   1    11    6.063  1.28000E+02  Chem_iter0_dtinc  AH  3
       12  4.950000E+02  1.568595E-05   4   1    11    6.057  1.28000E+02  Flow_dtcut        AG  1
       13  7.510000E+02  2.379828E-05   8   1    11    6.062  2.56000E+02  Chem_iter0_dtinc  AG  1
       14  1.007000E+03  3.191061E-05   6   1    11    6.075  2.56000E+02  Flow_dtcut        AJ  4
       15  1.263000E+03  4.002294E-05   4   1    11    6.072  2.56000E+02  Flow_dtcut        AG  2
       16  1.775000E+03  5.624760E-05   7   1    12    6.086  5.12000E+02  Chem_iter0_dtinc  AH  4
       17  2.287000E+03  7.247226E-05   6   1    11    6.096  5.12000E+02  Flow_dtcut        AG  3
       18  2.799000E+03  8.869693E-05   7   1    11    6.094  5.12000E+02  Flow_dtcut        AG  3
       19  3.311000E+03  1.049216E-04   6   1    11    6.095  5.12000E+02  Flow_dtcut        AH  5
       20  3.823000E+03  1.211462E-04   4   1    10    6.093  5.12000E+02  Flow_dtcut        AF  1
      100  8.987990E+05  2.848185E-02   7   1    23    6.734  3.27680E+04  Flow_dtcut        AG  1
      200  7.476975E+06  2.369363E-01   7   1    25    7.292  2.62144E+05  Chem_iter0_dtinc  AG  5
      300  3.495631E+07  1.107723E+00   4   1    24    7.501  4.32000E+05  Max_Delta_t       AF  7
      400  7.513231E+07  2.380852E+00   3   1    23    7.579  4.32000E+05  Max_Delta_t       AC  6
      500  1.177923E+08  3.732696E+00   4   1    22    7.647  4.32000E+05  Max_Delta_t       A9  1
      600  1.609923E+08  5.101652E+00   7   1    21    7.673  4.32000E+05  Max_Delta_t       A7  1
      700  2.041923E+08  6.470607E+00   4   1    21    7.681  4.32000E+05  Max_Delta_t       AA  8
      800  2.468523E+08  7.822451E+00   3   1    25    7.717  4.32000E+05  Max_Delta_t       A5  5
      900  2.900523E+08  9.191407E+00   3   1    23    7.708  4.32000E+05  Max_Delta_t       AI  8
      962  3.155690E+08  1.000000E+01   3   1   200    7.927  7.17175E+03  Tot_time_Dt       AJ  7
 
        Total number of chemical iterations =     7328223
  ...done! TOUGHREACT V4.13omp   simulation finished
